################################################################
# abuse.ch SSL IPBL                                            #
# Last updated: 2015-10-15 14:45:01 (UTC)                      #
#                                                              #
# Terms Of Use: https://sslbl.abuse.ch/blacklist/              #
# For questions please contact sslbl [at] abuse.ch             #
################################################################
#
# DstIP,DstPort
104.130.17.100,443,URLzone C&C
109.120.155.159,443,TorrentLocker C&C
109.120.155.254,443,TorrentLocker C&C
109.120.156.217,443,Gozi C&C
113.53.234.218,448,Dridex C&C
136.243.237.218,443,Dridex C&C
149.210.180.13,4483,Dridex C&C
178.20.227.208,443,VMZeuS C&C
178.208.77.10,80,Gootkit C&C
178.218.221.73,8443,Dridex C&C
178.32.160.71,80,Gootkit C&C
178.63.192.245,443,TorrentLocker C&C
185.113.223.239,443,VMZeuS C&C
185.22.233.47,443,TorrentLocker C&C
185.24.219.202,80,Gootkit C&C
185.26.120.78,443,TorrentLocker C&C
185.4.75.9,443,TorrentLocker C&C
185.65.246.242,443,Gozi C&C
185.74.252.131,443,Shifu C&C
185.75.56.133,80,Gootkit C&C
185.75.56.137,80,Gootkit C&C
185.82.200.100,443,Gozi C&C
185.82.202.101,80,Gootkit C&C
185.82.203.157,80,Gootkit C&C
185.86.79.80,443,TorrentLocker C&C
188.225.72.25,443,TorrentLocker C&C
188.225.74.109,443,TorrentLocker C&C
188.225.74.44,443,TorrentLocker C&C
188.40.227.39,80,Gootkit C&C
188.65.211.205,443,TorrentLocker C&C
191.101.21.10,443,TorrentLocker C&C
193.218.145.184,443,TorrentLocker C&C
194.31.59.42,443,TorrentLocker C&C
195.251.250.37,448,Dridex C&C
198.61.187.234,4483,Dridex C&C
204.95.99.204,443,Shylock C&C
212.109.220.249,443,TorrentLocker C&C
212.154.175.3,443,Dridex C&C
31.131.251.33,743,Dridex C&C
31.184.196.83,443,TorrentLocker C&C
37.0.125.106,443,Rovnix C&C
37.128.132.96,443,Dridex C&C
38.84.132.172,443,TorrentLocker C&C
46.166.172.96,443,TorrentLocker C&C
46.30.41.30,443,TorrentLocker C&C
46.30.42.105,443,TorrentLocker C&C
46.30.45.203,443,TorrentLocker C&C
5.1.82.140,443,VMZeuS C&C
5.34.181.13,443,Gozi C&C
5.8.60.15,80,Gootkit C&C
50.7.202.204,443,TorrentLocker C&C
51.254.139.49,443,TorrentLocker C&C
51.254.61.46,443,TorrentLocker C&C
62.109.20.77,443,Teslacrypt C&C
62.213.67.152,443,TorrentLocker C&C
66.240.183.19,843,Dridex C&C
76.74.177.209,8443,Dridex C&C
77.221.144.118,443,Gozi C&C
78.46.236.9,443,TorrentLocker C&C
78.46.30.43,80,Gootkit C&C
80.82.64.29,80,Gootkit C&C
82.118.24.167,4483,Dridex C&C
82.146.40.76,443,TorrentLocker C&C
84.246.226.211,448,Dridex C&C
86.105.33.102,1443,Dridex C&C
87.106.18.216,4483,Dridex C&C
87.249.215.197,80,Gootkit C&C
87.254.45.100,1443,Dridex C&C
88.151.246.80,443,Dridex C&C
89.248.164.58,80,Gootkit C&C
89.32.145.12,4483,Dridex C&C
89.33.64.105,80,Gootkit C&C
92.114.92.104,80,Gootkit C&C
92.51.129.33,4483,Dridex C&C
93.170.128.75,443,TorrentLocker C&C
93.171.159.109,443,TorrentLocker C&C
93.179.69.122,443,TorrentLocker C&C
94.103.80.249,443,TorrentLocker C&C
94.242.224.207,443,VMZeuS C&C
95.143.198.13,80,Gootkit C&C
95.163.107.42,443,Dridex C&C
95.173.183.138,443,VMZeuS C&C
95.215.108.70,443,Gozi C&C
# Number of entries: 83
